feature,importance,std
reactions,0.08703750434361236,0.011605000579148315
score_mental,0.07022723662805089,0.009363631550406785
ball_control,0.060209786062671036,0.008027971475022804
score_tecnico,0.05863047472856101,0.007817396630474802
short_passing,0.05739571917140676,0.0076527625561875695
score_fisico,0.05716496262146811,0.007621995016195748
vision,0.05641500981370911,0.007522001308494548
long_passing,0.051561951347673794,0.0068749268463565065
sprint_speed,0.05101082973064367,0.006801443964085822
dribbling,0.0508071707174924,0.006774289428998987
acceleration,0.05071030237388454,0.006761373649851272
positioning,0.0491804555912227,0.006557394078829694
shot_power,0.048860510041928616,0.006514734672257149
penalties,0.04746670616330885,0.006328894155107847
long_shots,0.04692774714725706,0.0062570329529676085
volleys,0.044855966493617956,0.005980795532482395
curve,0.0440688105810229,0.0058758414108030545
agility,0.04360654231703749,0.005814205642271666
finishing,0.04300842096320584,0.0057344561284274455
crossing,0.04167037708169052,0.005556050277558736
