class,feature,shap_importance
Defensa_Central,reactions,0.01582781959333723
Defensa_Central,ball_control,0.02835780646821425
Defensa_Central,dribbling,0.01876409159756172
Defensa_Central,short_passing,0.010980548209675357
Defensa_Central,long_passing,0.02557584633983526
Defensa_Central,acceleration,0.011293494355795337
Defensa_Central,sprint_speed,0.008605947549711251
Delantero,reactions,0.01882025266692292
Delantero,ball_control,0.019894548995454876
Delantero,dribbling,0.0323419962537298
Delantero,short_passing,0.03494411510822661
Delantero,long_passing,0.03512180790086907
Delantero,acceleration,0.02002616986739702
Delantero,sprint_speed,0.010186599442127724
Extremo,reactions,0.014333057875799938
Extremo,ball_control,0.013963915841259649
Extremo,dribbling,0.03648144823654171
Extremo,short_passing,0.03234930547876378
Extremo,long_passing,0.022564630951476972
Extremo,acceleration,0.013821440566151635
Extremo,sprint_speed,0.010121339564715889
Lateral,reactions,0.03865108678066176
Lateral,ball_control,0.017561694758716932
Lateral,dribbling,0.01448067569800865
Lateral,short_passing,0.014375041287412333
Lateral,long_passing,0.015724922044679616
Lateral,acceleration,0.022606468882563697
Lateral,sprint_speed,0.01578570852212089
Mediocentro,reactions,0.007059815426470937
Mediocentro,ball_control,0.01764465104945044
Mediocentro,dribbling,0.014515430608870056
Mediocentro,short_passing,0.010486675107197006
Mediocentro,long_passing,0.0411769874840794
Mediocentro,acceleration,0.006013563194803162
Mediocentro,sprint_speed,0.010026142157908003
Pivote,reactions,0.023455484828040093
Pivote,ball_control,0.013363540261069022
Pivote,dribbling,0.016973974968669227
Pivote,short_passing,0.021110970754804264
Pivote,long_passing,0.010360295063590323
Pivote,acceleration,0.012338373507311784
Pivote,sprint_speed,0.010915407566313795
Portero,reactions,0.02022838733110447
Portero,ball_control,0.02841313976522569
Portero,dribbling,0.035374570552635896
Portero,short_passing,0.023036110601221578
Portero,long_passing,0.030176449829613983
Portero,acceleration,0.01529464011318068
Portero,sprint_speed,0.05457277009477308
